列1,列2,列3,列4,列5,列6,列7
山手線,各駅停車,2155,渋谷・品川方面,14,0,0
山手線,各駅停車,2155,池袋・上野方面,15,0,0
中央線(快速),快速,2156,豊田,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2156,新木場,2,0,0
山手線,各駅停車,2158,大崎,14,0,0
山手線,各駅停車,2158,池袋・上野方面,15,0,0
中央線(快速),快速,2159,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央本線(特急),特急,2200,甲府,0,0,0
中央線(快速),快速,2202,立川,0,0,0
山手線,各駅停車,2202,渋谷・品川方面,14,0,0
山手線,各駅停車,2202,池袋・上野方面,15,0,0
中央線(快速),快速,2205,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),通勤快速,2205,高尾,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2205,新木場,1,0,0
山手線,各駅停車,2206,渋谷・品川方面,14,0,0
山手線,各駅停車,2206,池袋・上野方面,15,0,0
中央線(快速),快速,2208,高尾,0,0,0
山手線,各駅停車,2210,渋谷・品川方面,14,0,0
山手線,各駅停車,2210,池袋・上野方面,15,0,0
成田エクスプレス,特急,2211,高尾,0,0,0
中央線(快速),快速,2214,青梅,0,0,0
中央線(快速),快速,2215,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2215,渋谷・品川方面,14,0,0
山手線,各駅停車,2215,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2215,新木場,2,0,0
中央線(快速),中央特快,2218,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2218,大崎,14,0,0
山手線,各駅停車,2218,池袋・上野方面,15,0,0
中央線(快速),中央特快,2219,高尾,0,0,0
中央線(快速),快速,2221,立川,0,0,0
山手線,各駅停車,2221,渋谷・品川方面,14,0,0
山手線,各駅停車,2221,池袋・上野方面,15,0,0
中央線(快速),快速,2222,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2224,高尾,0,0,0
山手線,各駅停車,2225,渋谷・品川方面,14,0,0
山手線,各駅停車,2225,池袋・上野方面,15,0,0
中央線(快速),快速,2227,東京,8,0,四ツ谷/御茶ノ水/神田/東京
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2227,新木場,1,0,0
山手線,各駅停車,2228,大崎,14,0,0
山手線,各駅停車,2228,池袋・上野方面,15,0,0
中央線(快速),中央特快,2229,高尾,0,0,0
中央線(快速),快速,2231,東京,7,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2231,渋谷・品川方面,14,0,0
山手線,各駅停車,2231,池袋・上野方面,15,0,0
中央線(快速),快速,2232,青梅,0,0,0
中央線(快速),快速,2235,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2236,渋谷・品川方面,14,0,0
山手線,各駅停車,2236,池袋・上野方面,15,0,0
中央線(快速),快速,2239,立川,0,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2239,新木場,1,0,0
中央線(快速),快速,2240,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2241,渋谷・品川方面,14,0,0
山手線,各駅停車,2241,池袋・上野方面,15,0,0
中央線(快速),快速,2244,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2244,渋谷・品川方面,14,0,0
山手線,各駅停車,2244,池袋・上野方面,15,0,0
中央本線(特急),ライナー,2245,八王子,0,0,0
中央線(快速),快速,2246,高尾,0,0,0
山手線,各駅停車,2248,渋谷・品川方面,14,0,0
山手線,各駅停車,2248,池袋・上野方面,15,0,0
中央線(快速),快速,2249,東京,8,0,四ツ谷/御茶ノ水/神田/東京
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2250,新木場,1,0,0
中央線(快速),中央特快,2251,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),中央特快,2251,高尾,0,0,0
山手線,各駅停車,2252,大崎,14,0,0
山手線,各駅停車,2252,池袋・上野方面,15,0,0
中央線(快速),快速,2254,豊田,0,0,0
中央線(快速),快速,2255,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2256,渋谷・品川方面,14,0,0
山手線,各駅停車,2256,池袋・上野方面,15,0,0
中央本線(特急),特急,2300,甲府,0,0,0
中央線(快速),快速,2301,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2301,高尾,0,0,0
山手線,各駅停車,2301,渋谷・品川方面,14,0,0
山手線,各駅停車,2301,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,各駅停車,2303,新木場,1,0,0
中央線(快速),中央特快,2306,高尾,0,0,0
山手線,各駅停車,2307,渋谷・品川方面,14,0,0
山手線,各駅停車,2307,池袋・上野方面,15,0,0
中央線(快速),快速,2308,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2308,高尾,0,0,0
山手線,各駅停車,2311,渋谷・品川方面,14,0,0
山手線,各駅停車,2311,池袋・上野方面,15,0,0
中央線(快速),中央特快,2315,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央本線(特急),ライナー,2315,高尾,0,0,0
中央線(快速),快速,2316,豊田,0,0,0
山手線,各駅停車,2316,渋谷・品川方面,14,0,0
山手線,各駅停車,2316,池袋・上野方面,15,0,0
埼京線・東京臨海高速鉄道りんかい線直通,通勤快速,2317,新木場,2,0,0
山手線,各駅停車,2321,渋谷・品川方面,14,0,0
山手線,各駅停車,2321,池袋・上野方面,15,0,0
中央線(快速),快速,2323,高尾,0,0,0
中央線(快速),中央特快,2327,高尾,0,0,0
山手線,各駅停車,2327,渋谷・品川方面,14,0,0
山手線,各駅停車,2327,池袋・上野方面,15,0,0
中央線(快速),快速,2331,東京,8,0,四ツ谷/御茶ノ水/神田/東京
埼京線,各駅停車,2331,大崎,1,0,0
山手線,各駅停車,2332,池袋,14,0,0
山手線,各駅停車,2332,池袋・上野方面,15,0,0
中央線(快速),快速,2333,豊田,0,始発,0
山手線,各駅停車,2336,大崎,14,0,0
山手線,各駅停車,2336,池袋・上野方面,15,0,0
中央線(快速),快速,2340,東京,8,0,四ツ谷/御茶ノ水/神田/東京
中央線(快速),快速,2340,高尾,0,0,0
山手線,各駅停車,2341,渋谷・品川方面,14,0,0
山手線,各駅停車,2341,池袋・上野方面,15,0,0
中央線(快速),中央特快,2345,大月,0,0,0
山手線,各駅停車,2346,品川,14,0,0
山手線,各駅停車,2346,池袋・上野方面,15,0,0
中央線(快速),快速,2347,東京,8,0,四ツ谷/御茶ノ水/神田/東京
山手線,各駅停車,2351,大崎,14,0,0
山手線,各駅停車,2351,池袋・上野方面,15,0,0
山手線,各駅停車,2355,渋谷・品川方面,14,0,0
山手線,各駅停車,2355,池袋・上野方面,15,0,0
中央線(快速),快速,2356,豊田,0,0,0
山手線,各駅停車,2401,大崎,14,0,0
山手線,各駅停車,2401,池袋・上野方面,15,0,0
中央線(快速),快速,2406,国分寺,0,0,0
山手線,各駅停車,2406,池袋,14,0,0
山手線,各駅停車,2406,池袋・上野方面,15,0,0
山手線,各駅停車,2411,品川,14,0,0
山手線,各駅停車,2411,池袋・上野方面,15,0,0
中央線(快速),中央特快,2414,高尾,0,0,0
中央線(快速),快速,2416,高尾,0,始発,0
山手線,各駅停車,2416,大崎,14,0,0
山手線,各駅停車,2416,池袋・上野方面,15,0,0
山手線,各駅停車,2421,品川,14,0,0
山手線,各駅停車,2421,池袋・上野方面,15,0,0
山手線,各駅停車,2426,大崎,14,0,0
山手線,各駅停車,2426,池袋・上野方面,15,0,0
山手線,各駅停車,2432,品川,14,0,0
山手線,各駅停車,2432,池袋・上野方面,15,0,0
山手線,各駅停車,2447,大崎,14,0,0
山手線,各駅停車,2447,池袋・上野方面,15,0,0
山手線,各駅停車,2500,品川,14,0,0
山手線,各駅停車,2500,池袋・上野方面,15,0,0
